No,Nama Vendor,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
41,Dapur Raozz,Ayam Geprek Sambal Hejo,15000,21,11,5,300
42,Dapur Raozz,Ayam Geprek Sambal Matah,15000,20,10,5,300
43,Dapur Raozz,Ayam Geprek Sambal Daun Jeruk,15000,24,13,5,300
44,Dapur Raozz,Telur Dadar,3000,6,2,5,72
45,Dapur Raozz,Kol Crispy,5000,2,5,10,152
46,Dapur Raozz,Ayam Geprek,10000,25,14,5,301
47,DMA Food,Cheese Cedar,12000,21,2,28,350
48,DMA Food,Choco Nut,10000,12,50,23,400
49,DMA Food,Chocho Almond,15000,15,52,30,415
50,DMA Food,Choco Chip,10000,10,70,25,400
51,DMA Food,Tiramisu Caramel,12000,7,30,18,250
52,DMA Food,Cheese Mozzarella,15000,25,3,25,250
53,DMA Food,Milk Oreo,12000,4,10,4,75
54,DMA Food,Oiginal Susu,5000,4,5,4,70
55,DMA Food,Seblak Original,5000,5,20,5,150
56,DMA Food,Seblak Baper,8000,6,21,6,151
57,DMA Food,Seblak Mager,10000,7,22,7,154
58,DMA Food,Seblak Galau,10000,8,23,8,153
59,DMA Food,Seblak Happy Temyum,15000,
60,Kyokatsu Katsu,Chicken Pop Saos Gochujang,13000,25,30,20,300
61,Kyokatsu Katsu,Chicken Pop Saos Spicy,13000,25,30,20,300
62,Kyokatsu Katsu,Chicken Pop Saos Orange,13000,25,30,20,300
63,Kyokatsu Katsu,Chicken Pop Saos Lemon,13000,25,30,20,300
64,Kyokatsu Katsu,Chicken Pop Sambel Merah/ Ijo,13000,25,30,20,300
65,Kyokatsu Katsu,Chicken Pop Sambal Matah ,13000,25,30,20,300
66,Kyokatsu Katsu,Chicken Pop Saos Mentaiko,13000,25,30,20,300
67,Kyokatsu Katsu,Katsu Saos Barbeque,15000,25,30,20,300
68,Kyokatsu Katsu,Katsu Saos Lada Hitam,15000,25,30,20,300
69,Kyokatsu Katsu,Katsu Sambal Merah/Ijo,15000,25,30,20,300
70,Kyokatsu Katsu,Katsu Sambal Matah,15000,25,30,20,300
71,Kyokatsu Katsu,Katsu Saos Mentaiko,15000,25,30,20,300
72,Kyokatsu Katsu,Keju Mozarella,5000,32,10,28,350
73,Kyokatsu Katsu,Seawed Crumb,5000,15,50,5,350
74,Noona Korea,Kimbab,15000,3,32,6.8,290
75,Noona Korea,Hotteok,8000,4.1,56,7,215
76,Noona Korea,So-tteok,8000,1,27,9.25,118
77,Noona Korea,Bungeoppang,8000,2.14,19.92,2.45,83
78,Noona Korea,Mango milky jelly,10000,0.5,18,5.9,1101
79,Pastaqia,Mentai Fish Rice,13000,20,25,18,110
80,Pastaqia,Mentai Nugget Rice,12000,20,25,18,110
81,Pastaqia,Mentai Chiken Rice,13000,20,25,18,110
82,Pastaqia,Mentai Saussage Rice,12000,12,10,7,100
83,Pastaqia,Macaroni Schotel,15000,10,2,3,11
84,Pastaqia,Spaghetti Brulee,15000,9,6,6,66
85,Pastaqia,Zuppa Soup,13000,13,25,9,150
86,Pastaqia,Crab Stick,2000,12,3,4,100
87,Pastaqia,Mozarella,5000,25,1,20,250
88,Sukka Ramen,Ramen Chicken Katsu,15000,41,49,9,427
89,Sukka Ramen,Ramen Smoke Beef,15000,34,34,11,258
90,Sukka Ramen,Ramen fish roll,15000,8,33,3.5,228
91,Sukka Ramen,Ramen sosis,15000,17,29,14,282
92,Sukka Ramen,Gyoza,10000,10.8,21.7,5.1,92
93,Sukka Ramen,Dumpling sostel,8000,4,8,2,70
94,Sukka Ramen,Baso aci,5000,1.99,48.5,1.93,118
95,Sukka Ramen,Batagor,5000,2.06,5.83,3,116
96,Sukka Ramen,Chicken katsu,7000,31,22,11,290
97,Sukka Ramen,Sosis,3000,12,9,8,92
98,Warung Si Goyang,Nasi Kuning Original,8000,8,40,10,300
99,Warung Si Goyang,Nasi Kuning Special,10000,12,45,15,350
100,Warung Si Goyang,Nasi Uduk Original,10000,6,40,10,300
101,Warung Si Goyang,Lotek Original,8000,8,38,10,250
102,Warung Si Goyang,Lotek + Lontong,10000,12,50,15,350
